codigo_municipio_dv_agrupado,municipio_agrupado,uf,ano,vitimas_feminicidio,vitimas_homicidio_doloso,vitimas_lesao_corporal_seguida_de_morte,Mandado de prisão cumprido,vitimas_transito_ou_decorrencia_dele,vitimas_sem_indicio_de_crime,vitimas_latrocinio,vitimas_suicidios,Tentativa de feminicídio,vitimas_tentativa_homicidio,vitimas_totais,ano_pib,codigo_municipio_dv,vl_agropecuaria,vl_industria,vl_servicos,vl_administracao,vl_bruto_total,vl_subsidios,vl_pib,vl_pib_per_capta,CO_MUNICIPIO,Total_Habitantes
5221858,VALPARAÍSO DE GOIÁS,GO,2020,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2020,5221858,789.761,278802.325,1388679.327,753323.236,2421594.648,252117.586,2673712.234,15532.65,5221858,198861
5221858,VALPARAÍSO DE GOIÁS,GO,2021,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,2021,5221858,1014.438,319466.417,1508139.312,822747.357,2651367.524,313144.845,2964512.369,16870.66,5221858,198861
5222203,VILA BOA,GO,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,5222203,40692.514,11413.373,26412.7,26326.618,104845.205,6383.723,111228.928,20241.84,5222203,4215
5222203,VILA BOA,GO,2016,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,7.0,2016,5222203,49402.596,15263.241,28284.309,34664.347,127614.493,11195.015,138809.507,24721.19,5222203,4215
5222203,VILA BOA,GO,2017,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,8.0,2017,5222203,32528.99,12561.218,29016.954,38795.155,112902.317,5736.644,118638.961,20701.27,5222203,4215
5222203,VILA BOA,GO,2018,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,9.0,2018,5222203,29890.633,13332.618,29701.733,29122.211,102047.195,6422.202,108469.397,18000.23,5222203,4215
5222203,VILA BOA,GO,2019,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,7.0,2019,5222203,24110.657,13854.981,33692.874,31987.928,103646.44,8562.182,112208.621,18183.22,5222203,4215
5222203,VILA BOA,GO,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2020,5222203,28357.518,22964.913,32732.857,33562.573,117617.861,8531.932,126149.793,19985.71,5222203,4215
5222203,VILA BOA,GO,2021,0.0,2.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,3.0,9.0,2021,5222203,58414.419,30275.188,40304.991,36711.915,165706.514,14192.317,179898.83,27886.97,5222203,4215
5222302,VILA PROPÍCIO,GO,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,5222302,121985.508,15056.551,32944.04,21623.361,191609.46,7325.781,198935.241,35664.26,5222302,5815
5222302,VILA PROPÍCIO,GO,2016,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,12.0,2016,5222302,136008.727,13465.463,31659.818,22605.537,203739.545,6735.539,210475.085,37351.39,5222302,5815
5222302,VILA PROPÍCIO,GO,2017,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,12.0,2017,5222302,108918.805,12713.806,27941.752,26733.077,176307.439,5895.443,182202.882,32021.6,5222302,5815
5222302,VILA PROPÍCIO,GO,2018,0.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,11.0,2018,5222302,90989.06,22509.57,32626.052,27164.595,173289.277,6625.305,179914.583,31246.02,5222302,5815
5222302,VILA PROPÍCIO,GO,2019,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,5.0,2019,5222302,104542.025,29303.337,35882.737,30245.959,199974.058,8020.329,207994.386,35731.73,5222302,5815
5222302,VILA PROPÍCIO,GO,2020,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,7.0,2020,5222302,115113.532,26920.909,34485.387,32855.225,209375.053,8560.354,217935.407,37051.24,5222302,5815
